,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
106,Moscow Mule,Un Verano Sin Ti,Bad Bunny,5/6/22,245939,95,0.804,0.294,0.804,0.674,1.18E-06,0.115,-5.453,0.0333,99.968,4
107,Party,Un Verano Sin Ti,Bad Bunny,5/6/22,227628,93,0.829,0.0151,0.829,0.799,0.000543,0.242,-5.389,0.0897,97.013,4
108,About Damn Time,About Damn Time,Lizzo,4/14/22,191822,93,0.836,0.0995,0.836,0.743,0,0.335,-6.305,0.0656,108.966,4
109,PROVENZA,PROVENZA,KAROL G,4/22/22,210200,93,0.87,0.656,0.87,0.516,0.00823,0.11,-8.006,0.0541,111.005,4
110,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,8/6/20,238805,89,0.761,0.44,0.761,0.525,6.70E-06,0.0921,-6.9,0.0944,80.87,4
111,First Class,Come Home The Kids Miss You,Jack Harlow,5/6/22,173947,84,0.902,0.111,0.902,0.582,3.18E-06,0.111,-5.902,0.109,107.005,4
112,Efecto,Un Verano Sin Ti,Bad Bunny,5/6/22,213061,91,0.801,0.141,0.801,0.475,1.73E-05,0.0639,-8.797,0.0516,98.047,4
113,Matilda,Harry's House,Harry Styles,5/20/22,245964,90,0.507,0.896,0.507,0.294,1.97E-05,0.0966,-10,0.04,114.199,4
114,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,7/23/21,141805,87,0.591,0.0383,0.591,0.764,0,0.103,-5.484,0.0483,169.928,4
115,Bam Bam (feat. Ed Sheeran),Familia,Camila Cabello,4/7/22,206070,83,0.756,0.182,0.756,0.697,0,0.333,-6.377,0.0401,94.996,4
116,Music For a Sushi Restaurant,Harry's House,Harry Styles,5/20/22,193813,90,0.72,0.258,0.72,0.715,0.0568,0.107,-4.652,0.04,107.041,4
117,Después de la Playa,Un Verano Sin Ti,Bad Bunny,5/6/22,230400,92,0.564,0.356,0.564,0.903,0,0.175,-3.221,0.307,78.293,4
118,Tarot,Un Verano Sin Ti,Bad Bunny,5/6/22,237894,92,0.795,0.0225,0.795,0.684,0,0.658,-3.971,0.0419,114.011,4
119,Daylight,Harry's House,Harry Styles,5/20/22,164533,89,0.686,0.484,0.686,0.445,0.00144,0.175,-7.189,0.0398,145.5,3
120,Cold Heart - PNAU Remix,The Lockdown Sessions,Elton John,10/22/21,202735,84,0.795,0.0354,0.795,0.8,7.25E-05,0.0915,-6.32,0.0309,116.032,4
121,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhé,1/10/20,184447,92,0.41,0.0228,0.41,0.611,0,0.116,-8.271,0.0467,185.727,3
122,Little Freak,Harry's House,Harry Styles,5/20/22,202183,89,0.559,0.719,0.559,0.535,0.000143,0.0954,-7.723,0.039,141.96,4
123,True Love,True Love,Kanye West,5/27/22,148571,82,0.712,0.0182,0.712,0.861,6.09E-06,0.511,-5.487,0.25,84.042,4
124,Un Ratito,Un Verano Sin Ti,Bad Bunny,5/6/22,176936,91,0.787,0.305,0.787,0.546,4.55E-05,0.122,-7.094,0.0532,93.05,4
125,Potion (with Dua Lipa & Young Thug),Potion (with Dua Lipa & Young Thug),Calvin Harris,5/27/22,214459,82,0.824,0.158,0.824,0.697,4.11E-05,0.077,-4.869,0.0473,99.988,4
126,Enemy (with JID) - from the series Arcane League of Legends,Mercury - Act 1,Imagine Dragons,9/3/21,173381,83,0.728,0.237,0.728,0.783,0,0.434,-4.424,0.266,77.011,4
127,Ghost,Justice,Justin Bieber,3/19/21,153190,89,0.601,0.185,0.601,0.741,2.91E-05,0.415,-5.569,0.0478,153.96,4
128,Una Noche en Medellín,Una Noche en Medellín,Cris Mj,1/21/22,153750,91,0.87,0.0924,0.87,0.548,4.60E-05,0.0534,-5.253,0.077,96.018,4
129,Grapejuice,Harry's House,Harry Styles,5/20/22,191958,89,0.645,0.357,0.645,0.721,0.143,0.204,-4.394,0.0336,182.928,4
130,MAMIII,ESQUEMAS,Becky G,5/13/22,226093,76,0.836,0.0845,0.836,0.703,0,0.138,-3.554,0.0657,94.048,4
131,INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,9/17/21,212352,84,0.741,0.0221,0.741,0.691,0,0.0476,-7.395,0.0672,150.087,4
132,Satellite,Harry's House,Harry Styles,5/20/22,218577,88,0.576,0.143,0.576,0.457,3.05E-05,0.0917,-6.473,0.0304,138.984,4
133,Woman,Planet Her,Doja Cat,6/25/21,172626,91,0.824,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,4
134,N95,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/22,195950,90,0.79,0.377,0.79,0.67,2.32E-06,0.119,-5.527,0.105,139.956,4
135,Love Of My Life,Harry's House,Harry Styles,5/20/22,191638,88,0.555,0.669,0.555,0.536,0,0.0623,-8.233,0.0452,118.057,4
136,Shivers,=,Ed Sheeran,10/29/21,207853,89,0.788,0.281,0.788,0.859,0,0.0424,-2.724,0.0856,141.02,4
137,Yo No Soy Celoso,Un Verano Sin Ti,Bad Bunny,5/6/22,230704,90,0.872,0.275,0.872,0.588,0,0.17,-6.276,0.0492,142.004,4
138,Cinema,Harry's House,Harry Styles,5/20/22,243507,88,0.829,0.354,0.829,0.644,0.0511,0.0944,-7.696,0.0427,105.993,4
139,Until I Found You,Until I Found You,Stephen Sanchez,9/1/21,177720,87,0.539,0.727,0.539,0.508,0,0.174,-6.05,0.0288,101.358,3
140,Desesperados,VICE VERSA,Rauw Alejandro,12/10/21,224996,85,0.869,0.356,0.869,0.694,0.00125,0.0878,-3.35,0.0783,90.02,4
141,Daydreaming,Harry's House,Harry Styles,5/20/22,187342,88,0.707,0.311,0.707,0.811,0.0152,0.131,-5.298,0.0304,113.971,4
142,Neverita,Un Verano Sin Ti,Bad Bunny,5/6/22,173119,89,0.876,0.0706,0.876,0.498,0,0.143,-7.511,0.0478,122.016,4
143,Keep Driving,Harry's House,Harry Styles,5/20/22,140241,87,0.721,0.321,0.721,0.479,0.00156,0.182,-9.669,0.226,164.948,3
144,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,4/29/22,189893,88,0.463,0.314,0.463,0.642,0,0.0686,-4.474,0.34,83.389,4
145,Where Are You Now,Where Are You Now,Lost Frequencies,7/30/21,148197,90,0.671,0.515,0.671,0.636,0.000411,0.172,-8.117,0.103,120.966,4
146,Envolver,Versions of Me,Anitta,4/12/22,193805,78,0.812,0.152,0.812,0.736,0.00254,0.0914,-5.421,0.0833,91.993,4
147,Me Fui de Vacaciones,Un Verano Sin Ti,Bad Bunny,5/6/22,180929,89,0.714,0.229,0.714,0.645,0.00083,0.0942,-5.493,0.0514,85.046,4
148,good 4 u,SOUR,Olivia Rodrigo,5/21/21,178146,90,0.563,0.335,0.563,0.664,0,0.0849,-5.044,0.154,166.928,4
149,Te Felicito,Te Felicito,Shakira,4/21/22,172235,87,0.695,0.234,0.695,0.636,0,0.081,-4.654,0.317,174.14,4
150,Viva Las Vengeance,Viva Las Vengeance,Panic! At The Disco,6/1/22,206580,58,0.211,1.25E-05,0.211,0.821,0.0329,0.104,-5.423,0.0732,153.742,4
151,SUPERMODEL,SUPERMODEL,Måneskin,5/13/22,148064,84,0.636,0.00164,0.636,0.876,0,0.117,-3.413,0.0555,120.983,4
152,maybe (feat. Bring Me The Horizon),mainstream sellout,Machine Gun Kelly,3/25/22,170133,76,0.601,0.000735,0.601,0.92,0,0.0998,-4.802,0.0505,88.014,4
153,The Foundations of Decay,The Foundations of Decay,My Chemical Romance,5/12/22,360760,77,0.363,0.000582,0.363,0.67,0.548,0.317,-6.652,0.0552,150.15,4
154,Black Summer,Unlimited Love,Red Hot Chili Peppers,4/1/22,232412,70,0.417,0.0267,0.417,0.682,0.000669,0.109,-5.071,0.0295,105.542,4
155,The Funeral,The Funeral,YUNGBLUD,3/11/22,211197,68,0.576,8.57E-05,0.576,0.869,7.10E-05,0.0573,-4.339,0.0339,92.538,4
156,Broken,Broken,Palaye Royale,5/20/22,190657,60,0.492,0.105,0.492,0.718,0,0.0895,-6.529,0.0711,140.143,4
157,Epiphany,Mammoth WVH,Mammoth WVH,6/11/21,268921,52,0.439,5.29E-05,0.439,0.894,0.0147,0.115,-4.973,0.0894,165.087,4
158,So Called Life,So Called Life,Three Days Grace,11/29/21,206276,64,0.502,0.00021,0.502,0.905,0,0.0601,-4.162,0.0634,160.064,4
159,Wild Child,Wild Child,The Black Keys,3/10/22,164866,67,0.68,0.017,0.68,0.639,5.09E-06,0.0398,-6.233,0.0278,106.991,4
160,All Comes Crashing,All Comes Crashing,Metric,4/28/22,263080,59,0.7,0.00606,0.7,0.686,0.000345,0.447,-6.888,0.0343,111.021,4
161,Hayloft II,Inside (Deluxe),Mother Mother,1/28/22,215040,78,0.326,0.0044,0.326,0.866,7.37E-06,0.0912,-4.541,0.101,178.181,4
162,Spitting Off the Edge of the World,Spitting Off the Edge of the World,Yeah Yeah Yeahs,6/1/22,257746,42,0.416,0.00349,0.416,0.717,3.36E-06,0.0627,-5.872,0.0357,109.947,4
163,Everything's Electric,C’MON YOU KNOW (Deluxe Edition),Liam Gallagher,5/27/22,216859,56,0.409,0.00435,0.409,0.969,0.000124,0.0602,-2.423,0.0706,166.02,4
164,DIE OUT HERE (feat. POORSTACY),DIE OUT HERE (feat. POORSTACY),DE'WAYNE,4/8/22,134266,56,0.593,0.0095,0.593,0.849,0,0.234,-5.727,0.0911,75.021,4
165,Faded Out (feat. Within Temptation),Faded Out (feat. Within Temptation),Asking Alexandria,5/20/22,185542,62,0.478,0.000151,0.478,0.937,0,0.198,-4.775,0.0938,74.966,4
