,track_uri,track_name,artist_name,artist_pop,artist_genres,album,track_pop,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
34,spotify:track:2eGPPxqTf4IxXZJ0opXNOy,74 BARS,Z.E,52,"['swedish drill', 'swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",MER ÄN RAP,52,0.533,0.907,0.541,2.1e-05,0.139,-9.445,0.166,103.016,4
35,spotify:track:3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem,89,"['detroit hip hop', 'hip hop', 'rap']",The Marshall Mathers LP,85,0.0302,0.949,0.661,0.0,0.0454,-4.244,0.0572,104.504,4
36,spotify:track:5cKilVQ9iZamOzodVcYQZ2,Trapper Of The Year (Intro) - Bonus Track,23,62,"['swedish drill', 'swedish hip hop', 'swedish trap pop']",08 ZOO,57,0.00582,0.725,0.453,0.0135,0.0827,-11.291,0.316,121.913,4
37,spotify:track:0QovRRlEC2IiM8UXlBKhIS,Fläta/Inte mitt krig,VC Barre,57,"['swedish hip hop', 'swedish trap pop']",Fläta/Inte mitt krig,56,0.456,0.602,0.547,3.66e-06,0.105,-9.764,0.319,97.923,4
38,spotify:track:1WpKjUN6pfhQqAlnarvKgq,Alé Alé,A36,58,"['swedish hip hop', 'swedish trap pop']",Alé Alé,54,0.17,0.857,0.408,1.96e-06,0.192,-9.382,0.148,118.026,4
39,spotify:track:3CgP1CxtvZgIYomCNuP5jG,GET THE POINT,Sickan,52,"['swedish hip hop', 'swedish trap pop']",GET THE POINT,66,0.514,0.961,0.62,0.000281,0.113,-8.978,0.241,124.017,4
40,spotify:track:4WBnZi0v3HRYDFVONZaAjw,Poppis,Asme,63,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Tusen Flows 2,53,0.547,0.659,0.481,0.0,0.219,-9.629,0.356,95.374,3
41,spotify:track:6f1zuPgMf9KtmZYnqEqski,Spiderman ( Intro ),Yasin,62,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",98.01.11,54,0.0799,0.952,0.469,0.0446,0.0815,-7.61,0.272,101.013,4
42,spotify:track:63IaMjanvXp9c3f0Y7OImT,DANSA,Einár,64,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",DANSA,63,0.187,0.739,0.776,2.37e-06,0.0718,-6.318,0.181,96.048,4
43,spotify:track:4JShHeXN09OK3021PagQGO,Inkassera (feat. C.Gambino & 23),Robin Kadir,49,"['swedish hip hop', 'swedish trap pop']",Inkassera (feat. C.Gambino & 23),64,0.0804,0.727,0.596,0.184,0.258,-4.923,0.112,109.909,4
44,spotify:track:5tB3935lICfBBLAfe5Un6l,Skräckfilm,Sarettii,58,"['swedish hip hop', 'swedish trap pop']",Skräckfilm,57,0.403,0.841,0.547,0.0,0.173,-7.634,0.221,106.027,4
45,spotify:track:684ek6GMzzinfgalcgqsE5,ABSOLUT,ADAAM,62,"['swedish hip hop', 'swedish trap pop']",ABSOLUT,62,0.0299,0.841,0.526,0.0,0.0897,-6.53,0.268,90.068,4
46,spotify:track:2TcAeEJb8CKeRml6SSwmJf,flygplansläge,Yasin,62,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",ep med e4an,60,0.0295,0.933,0.5,0.0,0.0695,-9.652,0.185,102.969,4
47,spotify:track:2mxJZZCbQDHE9siE8LnpVV,PA PA,Macky,48,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",TIMELINE,47,0.11,0.907,0.645,1.6e-05,0.189,-5.071,0.0751,124.051,4
48,spotify:track:4afAxtcZ59NJsOQsxnLtOd,Trendsetter,23,62,"['swedish drill', 'swedish hip hop', 'swedish trap pop']",Trendsetter,54,0.281,0.873,0.495,0.0,0.164,-8.696,0.206,96.02,4
49,spotify:track:4N9RKF9hpWY7asYF0V72s6,Pop Smoke,Einár,64,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Unge Med Extra Energi,53,0.0281,0.704,0.585,0.0,0.0935,-8.19,0.244,102.116,4
0,spotify:track:2vXgyN14LX2zl7JEASw242,Wild Side (feat. Cardi B),Normani,68,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",Wild Side (feat. Cardi B),73,0.0249,0.74,0.576,0.0,0.104,-6.744,0.146,110.095,4
1,spotify:track:3krZxyBsWEHfEfJegYaWTd,Come Through (feat. Chris Brown),H.E.R.,75,"['alternative r&b', 'dance pop', 'pop', 'r&b']",Come Through (feat. Chris Brown),66,0.604,0.615,0.422,0.0,0.112,-8.019,0.0504,135.859,5
2,spotify:track:6ZRuF2n1CQxyxxAAWsKJOy,Nights Like This (feat. Ty Dolla $ign),Kehlani,76,"['dance pop', 'pop', 'pop rap', 'r&b']",While We Wait,74,0.367,0.61,0.725,0.0,0.154,-5.131,0.15,146.163,4
3,spotify:track:4iuNZTcvT9diFySSzVsnVS,When I See U,Fantasia,55,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'pop r&b', 'quiet storm', 'r&b', 'urban contemporary']",Fantasia,69,0.452,0.569,0.596,7.92e-05,0.205,-6.486,0.172,93.135,4
4,spotify:track:4squZv12LD9M8ooJfoVgZS,Boo'd Up,Ella Mai,70,"['dance pop', 'pop', 'pop rap', 'r&b', 'uk contemporary r&b', 'urban contemporary']",Ella Mai,63,0.158,0.397,0.843,0.0,0.0844,-3.726,0.0987,81.201,4
5,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,91,"['canadian contemporary r&b', 'canadian pop', 'pop']",Starboy,77,0.111,0.586,0.525,0.0,0.134,-7.163,0.0615,133.629,4
6,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake),Chris Brown,84,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",Indigo,78,0.123,0.696,0.454,0.0,0.155,-6.756,0.153,92.928,4
7,spotify:track:0PJIbOdMs3bd5AT8liULMQ,oui,Jeremih,74,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Late Nights: The Album,76,0.213,0.418,0.724,0.0,0.112,-3.724,0.0964,78.521,5
8,spotify:track:6oEVnWKgPqIEPc53OYDNqG,Could've Been (feat. Bryson Tiller),H.E.R.,75,"['alternative r&b', 'dance pop', 'pop', 'r&b']",I Used To Know Her,74,0.649,0.45,0.352,3.8e-06,0.249,-11.733,0.267,102.679,4
9,spotify:track:6gU9OKjOE7ghfEd55oRO57,The Weekend,SZA,81,"['pop', 'r&b']",Ctrl,72,0.242,0.4,0.366,0.0,0.126,-9.405,0.0597,73.313,3
10,spotify:track:2xRYnHQdLD9ketvC01UYYT,It Won't Stop (feat. Chris Brown) - EP Version,Sevyn Streeter,60,"['alternative r&b', 'dance pop', 'hip pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'trap queen', 'urban contemporary']","Call Me Crazy, But...",70,0.016,0.657,0.574,8.1e-05,0.172,-9.484,0.0407,119.992,4
11,spotify:track:0mfCH4nfpshBQR9ueZP5eP,Girls Need Love (with Drake) - Remix,Summer Walker,78,"['pop', 'r&b']",Girls Need Love (with Drake) [Remix],0,0.443,0.656,0.432,0.0,0.132,-9.481,0.217,97.022,4
12,spotify:track:3pXF1nA74528Edde4of9CC,Don't,Bryson Tiller,77,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']",T R A P S O U L,77,0.223,0.765,0.356,0.0,0.0963,-5.556,0.195,96.991,4
13,spotify:track:1cAL4sFzXXRMbpZnTPa7Zi,Distraction,Kehlani,76,"['dance pop', 'pop', 'pop rap', 'r&b']",SweetSexySavage (Deluxe),51,0.0266,0.66,0.698,0.0,0.296,-6.266,0.0467,120.959,4
14,spotify:track:7noud145AHZGg74vpWOsCa,Trip,Ella Mai,70,"['dance pop', 'pop', 'pop rap', 'r&b', 'uk contemporary r&b', 'urban contemporary']",Trip,0,0.214,0.717,0.605,0.0,0.138,-5.68,0.075,81.047,4
15,spotify:track:1Tt4sE4pXi57mTD1GCzsqm,Needed Me,Rihanna,86,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",ANTI,0,0.11,0.671,0.314,0.0,0.0825,-8.091,0.244,110.898,4
16,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,OTW,Khalid,84,"['pop', 'pop r&b']",OTW,72,0.183,0.652,0.678,3.26e-05,0.106,-6.183,0.0541,72.989,4
17,spotify:track:4LfoYkTuIPgJ2RlNkN5P5C,EX - Remix,Kiana Ledé,65,"['alternative r&b', 'chill r&b', 'dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']",EX (Remix),54,0.326,0.775,0.537,0.0,0.0792,-6.978,0.141,73.484,4
18,spotify:track:3TTMUI5dFcbeNSDTTDY9M8,Come Thru (with Usher),Summer Walker,78,"['pop', 'r&b']",Over It,68,0.159,0.679,0.728,0.0,0.107,-3.092,0.154,152.001,4
19,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,Exchange,Bryson Tiller,77,"['kentucky hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'trap']",T R A P S O U L,75,0.107,0.525,0.433,0.0,0.135,-10.598,0.185,160.108,4
20,spotify:track:3tZs3nVjySLbL320lP4mvs,Focus,H.E.R.,75,"['alternative r&b', 'dance pop', 'pop', 'r&b']",H.E.R.,63,0.25,0.414,0.314,1.47e-05,0.117,-12.943,0.0548,84.993,4
21,spotify:track:3nXrCAE44KlevAkQB2XWcN,Gonna Love Me,Teyana Taylor,61,"['alternative r&b', 'dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']",K.T.S.E.,69,0.402,0.514,0.506,2.56e-05,0.191,-7.095,0.28,88.044,4
22,spotify:track:3LmvfNUQtglbTrydsdIqFU,We Belong Together,Mariah Carey,75,"['dance pop', 'pop', 'urban contemporary']",The Emancipation of Mimi,68,0.0339,0.837,0.462,0.0,0.09,-7.89,0.0601,139.986,4
23,spotify:track:0At2qAoaVjIwWNAqrscXli,Boo'd Up,Ella Mai,70,"['dance pop', 'pop', 'pop rap', 'r&b', 'uk contemporary r&b', 'urban contemporary']",READY,67,0.0862,0.561,0.779,0.0,0.078,-5.107,0.0531,81.965,4
24,spotify:track:4OBZT9EnhYIV17t4pGw7ig,Best Part (feat. H.E.R.),Daniel Caesar,76,"['canadian contemporary r&b', 'pop', 'r&b']",H.E.R.,73,0.793,0.473,0.371,0.0,0.109,-10.219,0.0405,75.205,4
25,spotify:track:47cQCF21TczFSmGfpd7c07,EX,Kiana Ledé,65,"['alternative r&b', 'chill r&b', 'dance pop', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']",Selfless,66,0.231,0.763,0.537,0.0,0.109,-7.018,0.246,73.51,4
26,spotify:track:2KkNkv6ciB6bt2hvHtOrin,Wake Up Love,Teyana Taylor,61,"['alternative r&b', 'dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']",Wake Up Love,53,0.502,0.583,0.766,1.79e-06,0.159,-4.743,0.405,131.374,3
27,spotify:track:4nw0S8MtvcLSpXCS9M8ciL,Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),Dreamville,68,"['hip hop', 'rap', 'underground hip hop']",Revenge Of The Dreamers III,57,0.145,0.664,0.61,0.0,0.097,-6.432,0.339,76.024,4
28,spotify:track:0PG9fbaaHFHfre2gUVo7AN,Please Me,Cardi B,80,"['dance pop', 'pop', 'pop rap', 'rap']",Please Me,73,0.0642,0.747,0.57,0.0,0.0832,-6.711,0.081,133.992,4
29,spotify:track:2rTnVB1bvwxHtaIl4uVu7f,Slide,H.E.R.,75,"['alternative r&b', 'dance pop', 'pop', 'r&b']",Slide,65,0.0807,0.832,0.469,8.26e-06,0.207,-9.141,0.339,97.023,4
30,spotify:track:1wZqJM5FGDEl3FjHDxDyQd,Come and See Me (feat. Drake),PARTYNEXTDOOR,74,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",PARTYNEXTDOOR 3 (P3),71,0.0511,0.717,0.347,2.43e-06,0.087,-10.265,0.0636,84.987,4
31,spotify:track:4at3d5QWnlibMVN75ECDrp,Pretty Little Fears (feat. J. Cole),6LACK,75,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",East Atlanta Love Letter,73,0.696,0.61,0.458,0.000103,0.0852,-11.336,0.36,192.099,4
32,spotify:track:6BIcjFZIVDZxNAcofRFPx4,So Gone,Monica,61,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']",After The Storm,64,0.176,0.618,0.552,0.0,0.252,-6.863,0.0981,81.975,4
33,spotify:track:2GlATHCDbLW7xq5BE0Bz5g,Shot Clock,Ella Mai,70,"['dance pop', 'pop', 'pop rap', 'r&b', 'uk contemporary r&b', 'urban contemporary']",Ella Mai,62,0.654,0.512,0.512,0.0,0.148,-6.008,0.285,95.11,1
34,spotify:track:0bxmVPKnEopTyuMMkaTvUb,Issues/Hold On,Teyana Taylor,61,"['alternative r&b', 'dance pop', 'hip pop', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'urban contemporary']",K.T.S.E.,62,0.833,0.528,0.523,1.53e-06,0.103,-4.82,0.0523,93.06,4
35,spotify:track:3Ey11v2aiX14s4wBaYbhlp,Don't Waste My Time (feat. Ella Mai),Usher,77,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",Don't Waste My Time (feat. Ella Mai),58,0.125,0.701,0.778,0.0,0.0828,-5.076,0.201,99.956,4
36,spotify:track:2wBCrtJS3E3TimRZ5MElTI,The Worst,Jhené Aiko,76,"['alternative r&b', 'dance pop', 'pop', 'r&b', 'urban contemporary']",Sail Out,69,0.253,0.539,0.414,1.3e-06,0.143,-9.156,0.0601,94.895,4
37,spotify:track:5VlTQnZO89Ioku8ssdbqJk,Dead Man Walking,Brent Faiyaz,76,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']",Dead Man Walking,75,0.279,0.505,0.267,0.0,0.096,-13.763,0.05,143.929,4
38,spotify:track:5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),Miguel,76,"['dance pop', 'pop', 'r&b', 'urban contemporary']",War & Leisure,73,0.173,0.674,0.506,0.0,0.0866,-10.532,0.0434,145.965,4
39,spotify:track:7IUKbORbtCOoarQHebDn5l,Planes,Jeremih,74,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Planes,0,0.756,0.661,0.678,0.0,0.0997,-3.8,0.26,128.823,4
0,spotify:track:29d0nY7TzCoi22XBqDQkiP,Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,71,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']",Hounds of Love (2018 Remaster),78,0.659,0.625,0.533,0.00266,0.0546,-11.903,0.0596,108.296,4
1,spotify:track:3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,74,"['chill pop', 'pop']",Long Way Down (Deluxe),88,0.695,0.445,0.537,1.65e-05,0.0944,-8.532,0.04,122.769,4
2,spotify:track:0MnTkIEP4zZN1IUSu8MvIz,Tek It - Sped Up,Cafuné,67,['brooklyn indie'],Tek It (I Watch the Moon),76,9.93e-05,0.348,0.95,9.68e-06,0.0868,-5.049,0.124,168.964,4
3,spotify:track:2DgdHcjWmO3qd50RzuBLgZ,House of Memories,Panic! At The Disco,78,['modern rock'],Death of a Bachelor,87,0.00272,0.506,0.817,0.0,0.0486,-5.051,0.0335,109.952,4
4,spotify:track:62ke5zFUJN6RvtXZgVH0F8,Only Love Can Hurt Like This,Paloma Faith,68,"['british soul', 'dance pop', 'europop', 'neo soul']",A Perfect Contradiction (Outsiders' Expanded Edition),83,0.0958,0.566,0.885,9.97e-05,0.334,-4.528,0.0818,90.99,4
5,spotify:track:7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Calvin Harris,83,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'progressive house', 'uk dance']",One Kiss (with Dua Lipa),83,0.037,0.791,0.862,2.19e-05,0.0814,-3.24,0.11,123.994,4
