,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
72,Burning (feat. Camden Cox),Burning (feat. Camden Cox),Eli & Fur,2021-09-03,186390,51,0.67,0.0122,0.67,0.796,0.0117,0.0735,-5.832,0.0377,122.99,4
73,CTRL + ALT + DEL,CTRL + ALT + DEL,Rêve,2021-09-17,153166,69,0.779,0.035,0.779,0.763,1.65e-06,0.112,-5.58,0.34,119.94,4
74,All We Got (feat. KIDDO) - Ofenbach Remix,All We Got (feat. KIDDO) [Ofenbach Remix],Robin Schulz,2020-11-13,129814,64,0.803,0.0522,0.803,0.796,2.69e-05,0.25,-5.077,0.0343,114.95,4
75,Call On Me,Call On Me,RAYE,2021-06-11,194880,66,0.582,0.021,0.582,0.889,0.0,0.687,-4.386,0.0491,121.977,4
76,Never Going Home,Never Going Home,Kungs,2021-05-21,169944,75,0.836,0.0907,0.836,0.846,0.047,0.057,-4.673,0.0392,122.042,4
77,Weekend,Weekend,Mufasa & Hypeman,2021-08-27,170022,63,0.761,0.0594,0.761,0.939,0.00158,0.0843,-3.34,0.0729,119.981,4
78,Follow,Follow,Martin Garrix,2022-03-25,221220,71,0.588,0.0333,0.588,0.78,0.193,0.0728,-6.102,0.0432,127.085,4
79,Good Luck,Good Luck,Mabel,2022-03-18,235417,69,0.696,0.113,0.696,0.792,0.0,0.0564,-5.659,0.0494,121.962,4
80,Promises,Promises,Diplo,2021-09-28,201176,44,0.551,0.0177,0.551,0.714,0.0,0.191,-7.757,0.0431,122.108,4
81,Kids (feat. MKLA),Kids (feat. MKLA),KSHMR,2020-08-14,184687,66,0.744,0.0107,0.744,0.866,0.0537,0.528,-4.834,0.106,128.027,4
82,Love Tonight - Edit,Love Tonight,Shouse,2017-12-14,241970,79,0.727,0.00214,0.727,0.681,0.000307,0.0861,-7.114,0.0265,123.028,4
83,1x1,1x1,Galantis,2022-05-13,139435,64,0.887,0.0176,0.887,0.863,0.0594,0.288,-4.2,0.0697,120.028,4
84,Vibe,Vibe,Mike Candys,2021-06-18,141001,62,0.937,0.013,0.937,0.823,0.397,0.121,-2.867,0.0956,126.063,4
85,Show Me A Sign (with MKLA),Show Me A Sign,Ship Wrek,2022-02-18,223283,54,0.717,0.0437,0.717,0.763,6.02e-05,0.154,-5.178,0.0559,126.002,4
86,Overpass Graffiti - TCTS Remix,Overpass Graffiti (TCTS Remix),Ed Sheeran,2021-10-28,276295,50,0.69,0.000938,0.69,0.915,0.000875,0.0618,-3.778,0.0414,126.046,4
87,It Ain't Right,It Ain't Right,Shane Codd,2021-11-05,208083,60,0.676,0.0414,0.676,0.896,6.41e-06,0.0519,-3.706,0.0425,125.997,4
88,Friday,Friday,Timmy Trumpet,2021-11-12,146983,60,0.794,0.0348,0.794,0.839,0.0367,0.0787,-8.382,0.0576,121.049,4
89,Rise (feat. Tasita D'Mour) - Edit,Rise (feat. Tasita D'Mour),Purple Disco Machine,2021-12-03,193268,41,0.747,0.266,0.747,0.81,0.132,0.0579,-5.487,0.0324,122.001,4
90,Human (feat. Echoes),Human (feat. Echoes),John Summit,2021-11-24,219047,70,0.544,0.00162,0.544,0.856,0.818,0.0763,-6.84,0.0314,125.992,4
91,Like That,Like That,Seamus D,2021-12-10,180719,64,0.718,0.0173,0.718,0.754,0.0111,0.143,-7.919,0.0374,123.98,4
92,Love Me Better (with Shift K3Y & Marc E. Bassy),Love Me Better,Dillon Francis,2021-06-25,150771,55,0.755,0.0253,0.755,0.716,0.00149,0.131,-5.089,0.0376,124.018,4
93,Marching Band,Marching Band,Surf Mesa,2022-03-25,193548,57,0.773,0.000943,0.773,0.81,0.0541,0.379,-6.794,0.0371,123.991,4
94,Redlight,Redlight,Swedish House Mafia,2022-02-25,242904,58,0.716,0.00857,0.716,0.655,0.162,0.0572,-5.999,0.0444,125.012,4
95,Sun Came Up,Sun Came Up,Sofi Tukker,2021-09-02,202905,65,0.673,0.0243,0.673,0.625,0.0219,0.0577,-6.854,0.0272,124.001,4
96,Talk About,Talk About,Rain Radio,2021-05-14,161040,72,0.814,0.000222,0.814,0.874,0.522,0.276,-5.316,0.0425,123.992,4
97,Alive (with Roland Clark),Alive (with Roland Clark),Various Artists,2021-11-12,221471,53,0.68,0.0149,0.68,0.912,0.0316,0.69,-8.785,0.058,124.994,4
98,Let You Go,Diplo,Diplo,2022-03-04,234374,62,0.584,0.101,0.584,0.955,0.00243,0.092,-4.197,0.0507,128.04,4
99,Young Forever,Young Forever,Lilly Ahlberg,2021-03-12,218293,46,0.846,0.0219,0.846,0.637,0.000826,0.0636,-7.388,0.037,120.997,4
